TF_name	TU_name	effect	evidence	confidence
ArcA	sucABCD[sucAp]	-	[AIFS, APPH, GEA, LTED, BPP, GEA, IGI]	STRONG
ArcA	tpx[tpxp]	-	[AIFS, APPH, GEA, LTED, APIORCISFBSCS, GEA]	STRONG
ArcA	treBC[treBp]	+	[AIFS, APPH, GEA, CV(LTED/PM), IEP, ITCR, LTED, PM, AIBSCS, GEA]	CONFIRMED
ArcA	ubiCA[ubiCp]	-	[AIFS, APPH, GEA, BPP, GEA, IGI]	STRONG
ArcA	uvrA[uvrAp]	-	[AIFS, APPH, GEA, APIORCISFBSCS, BPP, GEA]	STRONG
ArcA	xylR[xylRp]	+	[AIFS, APPH, GEA, BTEI, BPP, GEA, IGI]	STRONG
ArcA	ybdN[ybdNp]	+	[AIFS, APPH, GEA, ICWHO, AIBSCS]	STRONG
ArcA	ydeA[ydeAp]	-	[AIFS, APPH, GEA, AIBSCS, GEA]	STRONG
ArgP	argO[argOp]	+	[ICWHO, APIORCISFBSCS, BCE, BPP, GEA, SM, IC]	STRONG
ArgP	argP[argPp]	-	[BTEI, ICWHO, APIORCISFBSCS, GEA, IC]	WEAK
ArgP	dapB[dapBp1]	+	[BTEI, IHBCE, APIORCISFBSCS, BCE, BPP, GEA, IC, SM]	STRONG
ArgP	dapD[dapDp]	+	[LTED, BPP, GEA, IGI]	STRONG
ArgP	dnaAN-recF[dnaAp1]	+	[BPP, GEA, IC]	STRONG
ArgP	gdhA[gdhAp1]	+	[LTED, BPP, GEA, SM]	STRONG
ArgP	lysA[lysAp]	+	[BPP, GEA, IGI]	STRONG
ArgP	lysC[lysCp1]	+	[ICWHO, BPP, GEA, IGI]	STRONG
ArgP	lysP[lysPp]	+	[ICWHO, APIORCISFBSCS, BPP, GEA, IC, SM]	STRONG
ArgP	nrdAB-yfaE[nrdAp]	+	[PAGTSBP, BPP, GEA, IC]	STRONG
ArgR	argA[argAp]	-	[EME, AISGDTU, AIBSCS, AIBSPD, APIORCISFBSCS, BPP, CEE, GEA]	STRONG
ArgR	argCBH[argCp]	-	[AIBSCS, BCE, BPP, GEA, SM, EME, AIBSPD, CEE]	STRONG
ArgR	argD[argDp]	-	[AIBSCS, APIORCISFBSCS, BPP, GEA, EME, AIBSPD, CEE]	STRONG
ArgR	argE[argEp1]	-	[AIBSCS, BCE, BPP, GEA, SM, EME, AIBSPD, CEE]	STRONG
ArgR	argF[argFp]	-	[AIBSCS, BCE, BPP, GEA, EME, AIBSPD, CEE, SM]	STRONG
ArgR	argG[argGp]	-	[AISGDTU, AIBSCS, APIORCISFBSCS, BPP, GEA]	STRONG
ArgR	argI[argIp]	-	[AIBSCS, BCE, BPP, GEA, EME, AIBSPD, CEE]	STRONG
ArgR	argR[argRp1]	-	[AIBSCS, APIORCISFBSCS, BPP, GEA, EME, AIBSPD, CEE]	STRONG
ArgR	artJ[artJp]	-	[BTEI, AIBSCS, BPP, GEA, SM, EME, AIBSPD, CEE]	STRONG
ArgR	artPIQM[artPp]	-	[EME, BTEI, AIBSPD, BPP, CEE, EME, GEA, SM, AIBSCS]	STRONG
ArgR	astCADBE[astCp2]	+	[EME, BTEI, IEP, ITCR, AIBSCS, AIBSPD, BPP, CEE, GEA]	STRONG
ArgR	carAB[carAp2]	-	[CV(LTED/PM), LTED, PM, AIBSCS, APIORCISFBSCS, BPP, GEA, SM, EME, AIBSPD, CEE]	CONFIRMED
ArgR	gltBDF[gltBp]	-	[CV(LTED/PM), LTED, PM, APIORCISFBSCS, BPP, GEA]	CONFIRMED
ArgR	gltBDF[gltBp2]	-	[CV(LTED/PM), LTED, PM, APIORCISFBSCS, BPP, GEA]	CONFIRMED
ArgR	hisJQMP[hisJp]	-	[PAGTSBP, AIBSCS, BPP, GEA, SM, EME, AIBSPD, CEE]	STRONG
ArgR	lysO[lysOp]	-	[ICWHO, BPP, GEA, SM, EME, AIBSPD, CEE]	STRONG
ArgR	metY[metYp2]	-	[BTEI, LTED, AIBSCS, APIORCISFBSCS, BPP, GEA]	STRONG
ArgR	metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp[metYp2]	-	[BTEI, PM, AIBSCS, APIORCISFBSCS, BPP, GEA]	STRONG
ArsR	arsRBC[arsRp]	-	[IHBCE, LTED, AIBSCS, BPP, GEA]	STRONG
AscG	ascFB[ascFp]	-	[APPHINH, GEA, HIFS, AIBSCS, BPP, GEA]	STRONG
AscG	fecABCDE[fecAp]	?	[APPHINH, GEA, HIFS, CV(LTED/PM), IEP, ITCR, LTED, PM, BPP, GEA, IGI]	CONFIRMED
AscG	htpG[htpGp1]	-	[APPHINH, GEA, HIFS, BTEI, AIBSCS, BPP]	STRONG
AscG	prpR[prpRp]	-	[APPHINH, GEA, HIFS, AIBSCS, BPP, GEA]	STRONG
AscG	ybiT[ybiTp]	-	[APPHINH, GEA, HIFS, AISGDTU, AIBSCS, BPP]	STRONG
AsnC	asnA[asnAp]	+	[AISGDTU, AIBSCS, GEA]	WEAK
AsnC	asnC[asnCp]	-	[BTEI, LTED, AIBSCS, GEA]	STRONG
AsnC	asnC-mioC[asnCp]	-	[LTED, AIBSCS, GEA]	STRONG
AsnC	asnC-mioC-mnmG[asnCp]	-	[LTED, AIBSCS, GEA]	STRONG
AtoC	atoDAEB[atoDp]	+	[GEA, HIFS, APIORCISFBSCS, BPP, GEA, SM]	STRONG
BaeR	acrD[acrDp2]	+	[APPH, GEA, BPP, GEA, IC]	STRONG
BaeR	mdtABCD-baeSR[mdtAp]	+	[APPH, GEA, ITCR, LTED, AIBSCS, BPP, GEA]	STRONG
BaeR	spy[spyp]	+	[APPH, GEA, BTEI, LTED, AIBSCS, APIORCISFBSCS, BPP, GEA, IC]	STRONG
BasR	csgDEFG[csgDp1]	+	[AIFS, IDA, BTEI, PAGTSBP, APIORCISFBSCS, BPP, GEA]	STRONG
BasR	csgDEFG[csgDp3]	+	[AIFS, IDA, BTEI, PAGTSBP, APIORCISFBSCS, BPP, GEA]	STRONG
BasR	cspI[cspIp]	+	[AIFS, IDA, APIORCISFBSCS, BPP]	STRONG
BasR	dgkA[dgkAp1]	+	[AIFS, IDA, APIORCISFBSCS, BPP, GEA, SM]	STRONG
BasR	fimB[fimBp2]	+	[AIFS, IDA, LTED, APIORCISFBSCS, BPP]	STRONG
BasR	putA[putAp]	-	[AIFS, IDA, APIORCISFBSCS, BPP]	STRONG
BasR	qseBC[qseBp2]	+	[AIFS, IDA, ITCR, BPP, GEA]	STRONG
BasR	tomB-hha[tomBp1]	+	[AIFS, IDA, ICWHO, APIORCISFBSCS, BPP]	STRONG
BasR	yrbL[yrbLp]	-	[AIFS, IDA, LTED, APIORCISFBSCS, BPP, GEA]	STRONG
BetI	betIBA[betIp]	-	[APPH, HIFS, IEP, APIORCISFBSCS, BPP, GEA, GS]	STRONG
BetI	betT[betTp]	-	[APPH, HIFS, IEP, APIORCISFBSCS, BPP, GEA, GS]	STRONG
BirA	bioA[bioAp]	-	[HIFS, IPI, SM]	STRONG
BirA	bioBFCD[bioBp]	-	[HIFS, IPI, SM]	STRONG
BluR	ycgZ-ymgA-ariR-ymgC[ycgZp]	-	[APPH, HIFS, IEP, LTED, BPP, GEA, SM]	STRONG
BluR	ycgZ-ymgA-ariR-ymgC[ycgZp2]	-	[APPH, HIFS, IEP, LTED, BPP, GEA, SM]	STRONG
BolA	ampC[ampCp]	+	[GEA, HIFS, BTEI, BPP, GEA, IGI]	STRONG
BolA	csgA[csgAp]	+	[GEA, HIFS, IEP, BPP, GEA, IGI]	STRONG
BolA	csgDEFG[csgDp3]	+	[GEA, HIFS, BTEI, PAGTSBP, BPP, GEA, IGI]	STRONG
BolA	dacC[dacCp]	+	[GEA, HIFS, AISGDTU, BPP, GEA, IGI]	STRONG
BolA	mreB[mreBp1]	-	[GEA, HIFS, LTED, BPP, GEA]	STRONG
BolA	mreBCD[mreBp1]	-	[GEA, HIFS, CV(LTED/PM), LTED, PM, BPP, GEA]	CONFIRMED
BtsR	btsT[yjiYp]	+	[HIFS, IMP, ICWHO, AIBSPD, BPP, GEA, SM]	STRONG
BtsR	csgBAC[csgBp]	-	[HIFS, IMP, LTED, AIBSPD, GEA, GS]	STRONG
BtsR	csgBAC[csgBp2]	-	[HIFS, IMP, LTED, AIBSPD, GEA, GS]	STRONG
BtsR	csgDEFG[csgDp1]	-	[HIFS, IMP, BTEI, PAGTSBP, AIBSPD, GEA, GS]	WEAK
BtsR	csgDEFG[csgDp3]	-	[HIFS, IMP, BTEI, PAGTSBP, AIBSPD, GEA, GS]	WEAK
BtsR	mdh[mdhp1]	-	[HIFS, IMP, AISGDTU, AIBSPD, GEA, GS]	WEAK
BtsR	pdhR-aceEF-lpdA[pdhRp]	-	[HIFS, IMP, LTED, AIBSPD, GEA, GS]	STRONG
BtsR	pdhR-aceEF-lpdA[pdhRp2]	-	[HIFS, IMP, LTED, AIBSPD, GEA, GS]	STRONG
BtsR	yobF-cspC[yobFp1]	-	[HIFS, IMP, AIBSPD, GEA, GS]	WEAK
CRP	aaeR[aaeRp]	-	[APIORCISFBSCS, GEA, AIFS, APPH, GEA, IMP, AISGDTU, AIBSCS, APIORCISFBSCS, GEA]	STRONG
